name,team,position,opponent_team_1,opponent_team_2,opponent_team_3,opponent_team_4,opponent_team_5,opponent_team_6,opponent_team_7,opponent_team_8,opponent_team_9,opponent_team_10,opponent_team_11
Anwar El Ghazi,2.0,MID,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Archie Gray,10.0,MID,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Armando Broja,6.0,FWD,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Armel Bella-Kotchap,17.0,DEF,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0
Armstrong Oko-Flex,19.0,MID,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Arnaut Danjuma,,,,,,,,,,,,,
Arthur Henrique Ramos de Oliveira Melo,,,,,,8.0,,,5.0,1.0,13.0,19.0,16.0
Arthur Masuaku,19.0,DEF,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Ashley Young,2.0,DEF,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Asmir BegoviÄ,8.0,GK,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Aymeric Laporte,13.0,DEF,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Ayoze PÃ©rez,11.0,MID,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Bashir Humphreys,,,,,,,,,,,,,
Ben Chilwell,6.0,DEF,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Ben Davies,12.0,DEF,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Ben Doak,,,,,,,,,,,,,
Ben Godfrey,8.0,DEF,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Ben Greenwood,,,,,,,,,,,,,
Ben Johnson,19.0,DEF,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Ben Knight,,,,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Ben Mee,4.0,DEF,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Ben Pearson,3.0,MID,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Benjamin White,1.0,DEF,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
BenoÃ®t Badiashile,,,,,,,,,,,,,
Bernardo Veiga de Carvalho e Silva,13.0,MID,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Bernd Leno,9.0,GK,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Bertrand TraorÃ©,2.0,MID,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Billy Gilmour,6.0,MID,11.0,10.0,17.0,10.0,,8.0,12.0,18.0,4.0,16.0,13.0
Bobby Clark,,,14.0,3.0,15.0,8.0,,,5.0,1.0,13.0,19.0,16.0
Bobby De Cordova-Reid,9.0,MID,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Boubacar Kamara,2.0,MID,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Boubacar TraorÃ©,,,,,,,,13.0,19.0,6.0,16.0,7.0,10.0
Boubakary SoumarÃ©,11.0,MID,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Braian Ojeda RodrÃ­guez,16.0,MID,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Brandon Austin,18.0,GK,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Brandon Williams,14.0,DEF,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Brenden Aaronson,10.0,MID,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Brennan Johnson,16.0,FWD,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Brice Samba,16.0,GK,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Bruno Borges Fernandes,14.0,MID,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Bruno GuimarÃ£es Rodriguez Moura,15.0,MID,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Bryan Gil Salvatierra,18.0,MID,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Bryan Mbeumo,4.0,FWD,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Bukayo Saka,1.0,MID,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
Callum Hudson-Odoi,6.0,MID,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Callum Wilson,15.0,FWD,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Calum Chambers,2.0,DEF,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Calvin Ramsay,12.0,DEF,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Cameron Archer,2.0,FWD,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Cameron Peupion,,,,,,,,,,,,,
Cameron Plain,,,,,,,,,,,,,
Caoimhin Kelleher,12.0,GK,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Carlos Alcaraz,,,,,,,,,,,,,
Carlos Henrique Casimiro,,,,17.0,10.0,1.0,,,13.0,8.0,15.0,18.0,6.0
Carlos Ribeiro Dias,16.0,MID,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Carlos VinÃ­cius Alves Morais,,,,,,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Carney Chukwuemeka,6.0,MID,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Charlie Goode,4.0,DEF,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Charlie Robinson,,,,,,,,,,,,,
Che Adams,17.0,FWD,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0
Cheick DoucourÃ©,7.0,MID,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
Cheikhou KouyatÃ©,,,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Chem Campbell,20.0,MID,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Chris Mepham,3.0,DEF,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Chris Richards,7.0,DEF,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
Chris Wood,15.0,FWD,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Christian Benteke,7.0,FWD,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
Christian Eriksen,14.0,MID,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Christian NÃ¸rgaard,4.0,MID,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Christian Pulisic,6.0,MID,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Christian Saydee,,,,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Ciaran Clark,15.0,DEF,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Claudio Gomes,,,,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
ClÃ©ment Lenglet,18.0,DEF,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Cody Drameh,10.0,DEF,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Cody Gakpo,,,,,,,,,,,,,
Cole Palmer,13.0,MID,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Connor Ronan,20.0,MID,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Conor Coady,20.0,DEF,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Conor Coventry,19.0,MID,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Conor Gallagher,6.0,MID,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Craig Dawson,19.0,DEF,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Cristian Romero,18.0,DEF,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Cristiano Ronaldo dos Santos Aveiro,14.0,FWD,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Crysencio Summerville,10.0,MID,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Curtis Jones,12.0,MID,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
CÃ©dric Alves Soares,1.0,DEF,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
CÃ©sar Azpilicueta,6.0,DEF,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Dale Taylor,,,,,,,,,,,,,
Dan Burn,15.0,DEF,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Dane Scarlett,18.0,FWD,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Dango Ouattara,,,,,,,,,,,,,
Daniel Adu-Adjei,,,,,,,,,,,,,
Daniel Amartey,11.0,DEF,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Daniel Bentley,,,,,,,,,,,,,
Daniel Castelo Podence,20.0,MID,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Daniel Iversen,11.0,GK,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Daniel James,10.0,MID,6.0,5.0,8.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Danilo dos Santos de Oliveira,,,,,,,,,,,,,
Danny Ings,2.0,FWD,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Danny Ward,11.0,GK,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Danny Welbeck,5.0,FWD,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0,16.0,13.0
Darko Gyabi,10.0,MID,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Darren Randolph,19.0,GK,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Darwin NÃºÃ±ez Ribeiro,12.0,FWD,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
David Brooks,3.0,MID,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
David Datro Fofana,,,,,,,,,,,,,
David De Gea Quintana,14.0,GK,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
David Ozoh,,,,,,,,,,,,,
David Raya Martin,4.0,GK,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Davinson SÃ¡nchez,18.0,DEF,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Dean Henderson,16.0,GK,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Declan Rice,19.0,MID,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Dejan Kulusevski,18.0,MID,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Dele Alli,8.0,MID,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Demarai Gray,8.0,MID,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Denis Zakaria,,,,,,19.0,,,7.0,20.0,2.0,4.0,14.0
Deniz Undav,5.0,FWD,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0,16.0,13.0
Dennis Praet,11.0,MID,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Dexter Lembikisa,,,,,,,,,,,,,
Diego Carlos Santos Silva,2.0,DEF,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Diego Da Silva Costa,,,,,,,,13.0,19.0,6.0,16.0,7.0,10.0
Diego Llorente,10.0,DEF,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Diogo Dalot Teixeira,14.0,DEF,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Diogo Pinheiro Monteiro,,,,,,,,,,,,,
Diogo Teixeira da Silva,12.0,FWD,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Divin Mubama,,,,,,,,,,,,,
Djed Spence,18.0,DEF,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Dominic Ballard,,,,,,,,,,,,,
Dominic Calvert-Lewin,8.0,FWD,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Dominic Sadi,,,,,,,,,,,,,
Dominic Solanke,3.0,FWD,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Dominic Thompson,4.0,DEF,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Donny van de Beek,14.0,MID,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Douglas Luiz Soares de Paulo,2.0,MID,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Duje Caleta-Car,,,,,,20.0,,2.0,8.0,13.0,19.0,3.0,1.0
Dwight Gayle,15.0,FWD,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Dwight McNeil,8.0,MID,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Eberechi Eze,7.0,MID,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
Ed Turns,,,,,,,,,,18.0,4.0,16.0,13.0
Eddie Nketiah,1.0,FWD,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
Ederson Santana de Moraes,13.0,GK,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Edouard Mendy,6.0,GK,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Eldin Jakupovic,,,,,,,,19.0,17.0,14.0,18.0,15.0,7.0
Ellery Balcombe,4.0,GK,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Elliot Anderson,15.0,MID,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Ellis Simms,,,,,,,,,,,,,
Emerson Leite de Souza Junior,18.0,DEF,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Emerson Palmieri dos Santos,6.0,DEF,11.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Emil Krafth,15.0,DEF,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Emile Smith Rowe,1.0,MID,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
Emiliano BuendÃ­a Stati,2.0,MID,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Emiliano Marcondes,3.0,MID,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Emiliano MartÃ­nez Romero,2.0,GK,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Emmanuel Dennis,,,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Enock Mwepu,5.0,MID,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0,16.0,13.0
Enzo FernÃ¡ndez,,,,,,,,,,,,,
Eric Bailly,14.0,DEF,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Eric Dier,18.0,DEF,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Erling Haaland,13.0,FWD,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Ethan Ampadu,6.0,DEF,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Ethan Nwaneri,,,,,,,,4.0,18.0,12.0,11.0,,17.0
Ethan Pinnock,4.0,DEF,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Ethan Wady,,,,,,,,,,,,,
Euan Pollock,,,,,,,,,,,,,
Evan Ferguson,,,,11.0,9.0,10.0,,,12.0,18.0,4.0,16.0,13.0
Ezri Konsa Ngoyo,2.0,DEF,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Fabian SchÃ¤r,15.0,DEF,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Fabio Henrique Tavares,12.0,MID,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Fabio Silva,20.0,FWD,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Facundo Buonanotte,,,,,,,,,,,,,
Facundo Pellistri Rebollo,14.0,MID,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Federico FernÃ¡ndez,15.0,DEF,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Felipe Augusto de Almeida Monteiro,,,,,,,,,,,,,
Filip Marschall,,,,,,,,,,,,,
Fin Stevens,4.0,DEF,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Flynn Downes,19.0,MID,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Francisco Jorge TomÃ¡s Oliveira,20.0,MID,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Frank Onyeka,4.0,MID,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Fraser Forster,18.0,GK,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Frederico Rodrigues de Paula Santos,14.0,MID,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
FrÃ©dÃ©ric Guilbert,2.0,DEF,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
FÃ¡bio Ferreira Vieira,1.0,MID,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
FÃ¡bio Freitas Gouveia Carvalho,12.0,MID,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Gabriel Fernando de Jesus,1.0,FWD,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
Gabriel Martinelli Silva,1.0,MID,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
Gabriel dos Santos MagalhÃ£es,1.0,DEF,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
Garang Kuol,,,,,,,,,,,,,
Gavin Bazunu,17.0,GK,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0
George Abbott,,,,,,,,,,,,,
George Shelvey,,,,,,,,,,,,,
George Wickens,,,,,,,,,,,,,
Georginio Rutter,,,,,,,,,,,,,
Gianluca Scamacca,19.0,FWD,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Giulian Biancone,16.0,DEF,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
GonÃ§alo Manuel Ganchinho Guedes,,,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Granit Xhaka,1.0,MID,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0,3.0,17.0
Gustavo Henrique Furtado Scarpa,,,,,,,,,,,,,
Hakim Ziyech,6.0,MID,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0,4.0,14.0
Halil DerviÅoÄlu,4.0,FWD,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Hamed TraorÃ¨,,,,,,,,,,,,,
Hamza Choudhury,11.0,MID,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Harrison Ashby,19.0,DEF,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0,12.0,3.0
Harrison Reed,9.0,MID,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Harry Arter,16.0,MID,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Harry Kane,18.0,FWD,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Harry Maguire,14.0,DEF,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Harry Souttar,,,,,,,,,,,,,
Harry Toffolo,16.0,DEF,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Harry Wilson,9.0,MID,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Harry Winks,18.0,MID,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Harvey Barnes,11.0,MID,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Harvey Davies,,,14.0,3.0,15.0,8.0,,,5.0,1.0,13.0,19.0,16.0
Harvey Elliott,12.0,MID,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Harvey Griffiths,,,,,,,,,,,,,
Harvey Vale,,,,,17.0,19.0,,,7.0,20.0,2.0,4.0,14.0
Harvey White,18.0,MID,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Haydon Roberts,5.0,DEF,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0,16.0,13.0
Hugo Bueno LÃ³pez,20.0,DEF,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Hugo Lloris,18.0,GK,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Hwang Hee-chan,20.0,MID,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Ibrahima Diallo,17.0,MID,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0
Ibrahima KonatÃ©,12.0,DEF,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
Idrissa Gueye,,,,,,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
Ilkay GÃ¼ndogan,13.0,MID,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Illan Meslier,10.0,GK,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Illia Zabarnyi,,,,,,,,,,,,,
Imari Samuels,,,,,,,,,,,,,
Isaac Price,,,,,,,,,,,,,
IshÃ© Samuels-Smith,,,,,,,,,,,,,
Issa Diop,19.0,DEF,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Ivan Neves Abreu Cavaleiro,9.0,MID,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0,2.0,11.0
Ivan PeriÅ¡iÄ,18.0,DEF,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0,14.0,15.0
Ivan Toney,4.0,FWD,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0,6.0,2.0
Jack Butland,7.0,GK,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
Jack Colback,16.0,MID,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0,5.0,12.0
Jack Grealish,13.0,MID,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
Jack Harrison,10.0,MID,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Jack Hinshelwood,,,,,,,,,,,,,
Jack Stacey,3.0,DEF,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Jack Stephens,17.0,DEF,10.0,14.0,6.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Jack Wells-Morrison,,,,,,,,,,,,,
Jackson Smith,20.0,GK,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0,7.0,10.0
Jacob Murphy,15.0,MID,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Jacob Ramsey,2.0,MID,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Jaden Philogene-Bidace,2.0,MID,7.0,19.0,1.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Jadon Sancho,14.0,MID,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0,18.0,6.0
Jaidon Anthony,3.0,MID,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
Jairo Riedewald,7.0,MID,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
Jakub Kiwior,,,,,,,,,,,,,
Jakub Moder,5.0,MID,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0,16.0,13.0
Jamaal Lascelles,15.0,DEF,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Jamal Lewis,15.0,DEF,13.0,20.0,12.0,7.0,,3.0,9.0,4.0,14.0,8.0,18.0
Jamal Lowe,3.0,MID,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
James Bree,,,,,,,,,,,,,
James Furlong,,,,,,,,,,,,,
James Garner,14.0,MID,12.0,17.0,10.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
James Hill,3.0,DEF,1.0,12.0,20.0,16.0,,15.0,4.0,10.0,9.0,17.0,19.0
James Justin,11.0,DEF,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
James Maddison,11.0,MID,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
James McArthur,7.0,MID,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
James McAtee,13.0,MID,15.0,7.0,16.0,2.0,,20.0,14.0,17.0,12.0,,5.0
James Milner,12.0,MID,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0,19.0,16.0
James Tarkowski,8.0,DEF,16.0,4.0,11.0,12.0,,19.0,17.0,14.0,18.0,15.0,7.0
James Tomkins,7.0,DEF,2.0,13.0,4.0,15.0,,,6.0,11.0,10.0,20.0,8.0
James Ward-Prowse,17.0,MID,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0,3.0,1.0
James Wright,,,,,,,,,,,,,
Jamie Shackleton,10.0,MID,6.0,5.0,8.0,4.0,,16.0,2.0,7.0,1.0,10.0,9.0
Jamie Vardy,11.0,FWD,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0,11.0,20.0
Jan Bednarek,17.0,DEF,10.0,14.0,6.0,13.0,,17.0,11.0,16.0,6.0,9.0,4.0
Jan Paul van Hecke,5.0,DEF,19.0,11.0,9.0,10.0,,19.0,12.0,18.0,4.0,16.0,13.0
